entity_id,entity_type,company_id,company_name,owner_id,owner_name,time_period,loan_amount,loan_purpose,term_years,interest_rate,collateral_type,collateral_value,ltv_ratio,application_date,desired_funding_date,market_condition_id,market_interest_rate,industry_growth,valid_from,valid_to,collection_timestamp,source,confidence,corroboration_level,evidence_id
"company_parks,_miranda_and_conway_loan_t0",LoanApplication,"company_parks,_miranda_and_conway","Parks, Miranda and Conway",owner_jeffery_burton,Jeffery Burton,0,3240422,Expansion,7,0.0683,Personal Guarantee,2774750.760708304,1.1678245289219509,2025-04-02,2025-05-21,market_conditions_t0,0.0441,0.0454,2025-03-29T07:57:25.135000,,2025-03-29T08:29:25.135000,synthetic,0.795,1,SYN-1745582245-3110
"company_parks,_miranda_and_conway_loan_t1",LoanApplication,"company_parks,_miranda_and_conway","Parks, Miranda and Conway",owner_jeffery_burton,Jeffery Burton,1,3399112,Expansion,15,0.088,Inventory,2998823.0441512954,1.1334820194307236,2025-06-29,2025-08-31,market_conditions_t1,0.0551,0.049,2025-07-08T07:57:25.135097,,2025-07-08T08:29:25.135097,synthetic,0.735,2,SYN-1745582245-2928
"company_parks,_miranda_and_conway_loan_t2",LoanApplication,"company_parks,_miranda_and_conway","Parks, Miranda and Conway",owner_jeffery_burton,Jeffery Burton,2,4889963,Refinance,10,0.1183,None,0.0,0.0,2025-10-05,2026-01-01,market_conditions_t2,0.0601,0.0474,2025-09-24T07:57:25.135137,,2025-09-24T08:23:25.135137,synthetic,0.761,1,SYN-1745582245-9260
"company_parks,_miranda_and_conway_loan_t3",LoanApplication,"company_parks,_miranda_and_conway","Parks, Miranda and Conway",owner_jeffery_burton,Jeffery Burton,3,5379941,Refinance,5,0.0731,Accounts Receivable,4951077.065713287,1.0866203310097189,2026-01-05,2026-03-03,market_conditions_t3,0.0509,0.0395,2026-01-09T07:57:25.135173,,2026-01-09T09:16:25.135173,synthetic,0.778,3,SYN-1745582245-1918
"company_wilson,_johnson_and_thornton_loan_t0",LoanApplication,"company_wilson,_johnson_and_thornton","Wilson, Johnson and Thornton",owner_michael_martinez,Michael Martinez,0,213093,Working Capital,1,0.0635,Accounts Receivable,153609.4461288575,1.387238906006105,2025-04-11,2025-06-12,market_conditions_t0,0.0441,0.0206,2025-04-04T07:57:25.135654,,2025-04-04T09:32:25.135654,synthetic,0.742,2,SYN-1745582245-9904
"company_wilson,_johnson_and_thornton_loan_t1",LoanApplication,"company_wilson,_johnson_and_thornton","Wilson, Johnson and Thornton",owner_michael_martinez,Michael Martinez,1,175848,Working Capital,3,0.1069,Inventory,158932.27208977722,1.1064335624716135,2025-07-14,2025-09-05,market_conditions_t1,0.0551,0.01,2025-06-30T07:57:25.135686,,2025-06-30T08:40:25.135686,synthetic,0.777,2,SYN-1745582245-1024
"company_wilson,_johnson_and_thornton_loan_t2",LoanApplication,"company_wilson,_johnson_and_thornton","Wilson, Johnson and Thornton",owner_michael_martinez,Michael Martinez,2,216098,Refinance,5,0.1169,Accounts Receivable,221984.4393460764,0.97348264876846,2025-10-06,2025-12-02,market_conditions_t2,0.0601,0.0159,2025-10-18T07:57:25.135717,,2025-10-18T08:10:25.135717,synthetic,0.779,3,SYN-1745582245-2920
"company_wilson,_johnson_and_thornton_loan_t3",LoanApplication,"company_wilson,_johnson_and_thornton","Wilson, Johnson and Thornton",owner_michael_martinez,Michael Martinez,3,124431,Working Capital,1,0.092,Inventory,114951.0316692207,1.0824696237442961,2025-12-31,2026-03-31,market_conditions_t3,0.0509,0.0219,2026-01-01T07:57:25.135754,,2026-01-01T08:37:25.135754,synthetic,0.743,1,SYN-1745582245-6671
company_smith-curtis_loan_t0,LoanApplication,company_smith-curtis,Smith-Curtis,owner_brooke_frost,Brooke Frost,0,160217,Working Capital,2,0.0976,None,0.0,0.0,2025-04-14,2025-05-23,market_conditions_t0,0.0441,0.0131,2025-04-10T07:57:25.136682,,2025-04-10T08:58:25.136682,synthetic,0.798,1,SYN-1745582245-3360
company_smith-curtis_loan_t1,LoanApplication,company_smith-curtis,Smith-Curtis,owner_brooke_frost,Brooke Frost,1,92954,Refinance,7,0.1184,None,0.0,0.0,2025-07-03,2025-09-05,market_conditions_t1,0.0551,0.0382,2025-07-04T07:57:25.136777,,2025-07-04T09:14:25.136777,synthetic,0.739,2,SYN-1745582245-6557
company_smith-curtis_loan_t2,LoanApplication,company_smith-curtis,Smith-Curtis,owner_brooke_frost,Brooke Frost,2,108788,Refinance,7,0.1072,Accounts Receivable,90028.5418184258,1.208372342844442,2025-10-07,2025-12-03,market_conditions_t2,0.0601,0.0253,2025-10-08T07:57:25.136836,,2025-10-08T09:27:25.136836,synthetic,0.785,1,SYN-1745582245-9193
company_smith-curtis_loan_t3,LoanApplication,company_smith-curtis,Smith-Curtis,owner_brooke_frost,Brooke Frost,3,115194,Refinance,15,0.0803,Inventory,122973.1899811506,0.9367407645329604,2025-12-30,2026-02-11,market_conditions_t3,0.0509,0.0311,2026-01-07T07:57:25.136888,,2026-01-07T08:22:25.136888,synthetic,0.737,2,SYN-1745582245-7598
"company_miller,_freeman_and_white_loan_t0",LoanApplication,"company_miller,_freeman_and_white","Miller, Freeman and White",owner_andrea_potter,Andrea Potter,0,3742638,Store Renovation,15,0.0584,Real Estate,5496927.66514021,0.6808599690577404,2025-03-26,2025-04-26,market_conditions_t0,0.0441,0.0291,2025-03-27T07:57:25.137736,,2025-03-27T09:03:25.137736,synthetic,0.796,1,SYN-1745582245-9628
"company_miller,_freeman_and_white_loan_t1",LoanApplication,"company_miller,_freeman_and_white","Miller, Freeman and White",owner_andrea_potter,Andrea Potter,1,4318225,Store Renovation,5,0.0923,Real Estate,5211256.497877066,0.8286341310889486,2025-06-27,2025-09-10,market_conditions_t1,0.0551,0.0414,2025-07-01T07:57:25.137794,,2025-07-01T09:28:25.137794,synthetic,0.783,3,SYN-1745582245-6923
"company_miller,_freeman_and_white_loan_t2",LoanApplication,"company_miller,_freeman_and_white","Miller, Freeman and White",owner_andrea_potter,Andrea Potter,2,2379558,Working Capital,3,0.1179,Personal Guarantee,2426348.4807753246,0.9807156799008636,2025-09-24,2025-12-18,market_conditions_t2,0.0601,0.03,2025-10-10T07:57:25.137843,,2025-10-10T09:29:25.137843,synthetic,0.734,2,SYN-1745582245-6575
"company_miller,_freeman_and_white_loan_t3",LoanApplication,"company_miller,_freeman_and_white","Miller, Freeman and White",owner_andrea_potter,Andrea Potter,3,4816241,Store Renovation,10,0.0775,Real Estate,6083482.285167119,0.7916914645651333,2025-12-28,2026-03-14,market_conditions_t3,0.0509,0.0338,2025-12-24T07:57:25.137892,,2025-12-24T08:42:25.137892,synthetic,0.759,2,SYN-1745582245-2386
company_patrick_and_sons_loan_t0,LoanApplication,company_patrick_and_sons,Patrick and Sons,owner_nicole_richardson,Nicole Richardson,0,463915,Store Renovation,15,0.0609,Real Estate,560522.1145221001,0.8276479874403045,2025-04-13,2025-06-07,market_conditions_t0,0.0441,0.0291,2025-04-01T07:57:25.138562,,2025-04-01T09:22:25.138562,synthetic,0.73,3,SYN-1745582245-1510
company_patrick_and_sons_loan_t1,LoanApplication,company_patrick_and_sons,Patrick and Sons,owner_nicole_richardson,Nicole Richardson,1,209757,Working Capital,1,0.1089,Personal Guarantee,149963.89721764426,1.398716650418716,2025-07-05,2025-08-14,market_conditions_t1,0.0551,0.0414,2025-07-05T07:57:25.138615,,2025-07-05T08:42:25.138615,synthetic,0.789,2,SYN-1745582245-2038
company_patrick_and_sons_loan_t2,LoanApplication,company_patrick_and_sons,Patrick and Sons,owner_nicole_richardson,Nicole Richardson,2,484109,Store Renovation,15,0.121,Real Estate,670322.3622061387,0.7222032671067685,2025-10-07,2025-12-07,market_conditions_t2,0.0601,0.03,2025-10-11T07:57:25.138665,,2025-10-11T09:42:25.138665,synthetic,0.784,3,SYN-1745582245-1978
company_patrick_and_sons_loan_t3,LoanApplication,company_patrick_and_sons,Patrick and Sons,owner_nicole_richardson,Nicole Richardson,3,337152,Working Capital,1,0.0864,Accounts Receivable,349792.1539681089,0.9638638150549789,2025-12-29,2026-03-20,market_conditions_t3,0.0509,0.0338,2025-12-25T07:57:25.138717,,2025-12-25T08:08:25.138717,synthetic,0.764,1,SYN-1745582245-5479
"company_lynch,_espinoza_and_phillips_loan_t0",LoanApplication,"company_lynch,_espinoza_and_phillips","Lynch, Espinoza and Phillips",owner_sydney_martinez,Sydney Martinez,0,3874019,Store Renovation,10,0.0733,Real Estate,5560570.3093180945,0.6966945447139,2025-04-14,2025-05-18,market_conditions_t0,0.0441,0.0291,2025-04-22T07:57:25.139408,,2025-04-22T09:25:25.139408,synthetic,0.799,2,SYN-1745582245-3942
"company_lynch,_espinoza_and_phillips_loan_t1",LoanApplication,"company_lynch,_espinoza_and_phillips","Lynch, Espinoza and Phillips",owner_sydney_martinez,Sydney Martinez,1,1582638,Inventory Purchase,1,0.1006,Inventory,1327604.8290597913,1.1921002133751073,2025-07-05,2025-08-17,market_conditions_t1,0.0551,0.0414,2025-07-22T07:57:25.139461,,2025-07-22T08:40:25.139461,synthetic,0.794,2,SYN-1745582245-1214
"company_lynch,_espinoza_and_phillips_loan_t2",LoanApplication,"company_lynch,_espinoza_and_phillips","Lynch, Espinoza and Phillips",owner_sydney_martinez,Sydney Martinez,2,1309969,Inventory Purchase,1,0.1115,Inventory,1195381.1227898311,1.0958588646127678,2025-10-08,2025-12-29,market_conditions_t2,0.0601,0.03,2025-10-01T07:57:25.139509,,2025-10-01T09:25:25.139509,synthetic,0.771,1,SYN-1745582245-2965
"company_lynch,_espinoza_and_phillips_loan_t3",LoanApplication,"company_lynch,_espinoza_and_phillips","Lynch, Espinoza and Phillips",owner_sydney_martinez,Sydney Martinez,3,3022612,Store Renovation,15,0.0871,Real Estate,3673877.7994341757,0.8227306853988233,2026-01-18,2026-04-12,market_conditions_t3,0.0509,0.0338,2026-01-13T07:57:25.139553,,2026-01-13T09:35:25.139553,synthetic,0.767,3,SYN-1745582245-4960
company_sanchez-osborne_loan_t0,LoanApplication,company_sanchez-osborne,Sanchez-Osborne,owner_tyrone_bryant,Tyrone Bryant,0,4337668,Store Renovation,7,0.0455,Real Estate,5583421.462687486,0.7768834985837048,2025-04-19,2025-07-17,market_conditions_t0,0.0441,0.0291,2025-04-17T07:57:25.140123,,2025-04-17T08:43:25.140123,synthetic,0.779,2,SYN-1745582245-5071
company_sanchez-osborne_loan_t1,LoanApplication,company_sanchez-osborne,Sanchez-Osborne,owner_tyrone_bryant,Tyrone Bryant,1,1642060,Inventory Purchase,1,0.0847,Inventory,1685280.4844968212,0.9743541298351143,2025-07-02,2025-09-11,market_conditions_t1,0.0551,0.0414,2025-07-14T07:57:25.140171,,2025-07-14T08:56:25.140171,synthetic,0.789,2,SYN-1745582245-1560
company_sanchez-osborne_loan_t2,LoanApplication,company_sanchez-osborne,Sanchez-Osborne,owner_tyrone_bryant,Tyrone Bryant,2,1220778,Inventory Purchase,1,0.1017,Accounts Receivable,1069706.3075416505,1.1412272615326868,2025-09-25,2025-11-21,market_conditions_t2,0.0601,0.03,2025-10-05T07:57:25.140216,,2025-10-05T08:31:25.140216,synthetic,0.792,2,SYN-1745582245-5478
company_sanchez-osborne_loan_t3,LoanApplication,company_sanchez-osborne,Sanchez-Osborne,owner_tyrone_bryant,Tyrone Bryant,3,2361263,Store Renovation,7,0.0718,Real Estate,3330960.4002118,0.708883539969391,2026-01-15,2026-02-19,market_conditions_t3,0.0509,0.0338,2026-01-01T07:57:25.140258,,2026-01-01T09:30:25.140258,synthetic,0.797,2,SYN-1745582245-8041
"company_roach,_sawyer_and_luna_loan_t0",LoanApplication,"company_roach,_sawyer_and_luna","Roach, Sawyer and Luna",owner_thomas_johns,Thomas Johns,0,441699,Refinance,7,0.0884,Personal Guarantee,478358.4892747287,0.9233639830865956,2025-04-24,2025-07-18,market_conditions_t0,0.0441,0.0109,2025-04-07T07:57:25.140953,,2025-04-07T09:15:25.140953,synthetic,0.736,2,SYN-1745582245-3419
"company_roach,_sawyer_and_luna_loan_t1",LoanApplication,"company_roach,_sawyer_and_luna","Roach, Sawyer and Luna",owner_thomas_johns,Thomas Johns,1,300743,Refinance,15,0.1307,None,0.0,0.0,2025-07-08,2025-09-10,market_conditions_t1,0.0551,0.0276,2025-07-03T07:57:25.141002,2025-08-17T07:57:25.141002,2025-07-03T08:35:25.141002,synthetic,0.737,3,SYN-1745582245-4430
"company_roach,_sawyer_and_luna_loan_t2",LoanApplication,"company_roach,_sawyer_and_luna","Roach, Sawyer and Luna",owner_thomas_johns,Thomas Johns,2,344246,Expansion,10,0.1178,Inventory,373342.2171507722,0.9220655585836898,2025-10-08,2025-11-21,market_conditions_t2,0.0601,0.0353,2025-09-29T07:57:25.141047,,2025-09-29T09:40:25.141047,synthetic,0.773,3,SYN-1745582245-6738
"company_roach,_sawyer_and_luna_loan_t3",LoanApplication,"company_roach,_sawyer_and_luna","Roach, Sawyer and Luna",owner_thomas_johns,Thomas Johns,3,248163,Working Capital,3,0.0873,Inventory,241437.0400742357,1.0278580284271885,2026-01-03,2026-03-03,market_conditions_t3,0.0509,0.0425,2026-01-11T07:57:25.141091,2026-02-15T07:57:25.141091,2026-01-11T09:14:25.141091,synthetic,0.745,1,SYN-1745582245-2919
company_crawford_plc_loan_t0,LoanApplication,company_crawford_plc,Crawford PLC,owner_thomas_lin,Thomas Lin,0,911778,Expansion,5,0.097,None,0.0,0.0,2025-04-08,2025-06-20,market_conditions_t0,0.0441,0.0131,2025-04-17T07:57:25.141676,,2025-04-17T09:09:25.141676,synthetic,0.759,3,SYN-1745582245-3954
company_crawford_plc_loan_t1,LoanApplication,company_crawford_plc,Crawford PLC,owner_thomas_lin,Thomas Lin,1,788071,Expansion,5,0.0972,Inventory,571795.815258876,1.3782384882323897,2025-07-15,2025-08-15,market_conditions_t1,0.0551,0.0382,2025-07-20T07:57:25.141724,,2025-07-20T09:20:25.141724,synthetic,0.726,1,SYN-1745582245-3708
company_crawford_plc_loan_t2,LoanApplication,company_crawford_plc,Crawford PLC,owner_thomas_lin,Thomas Lin,2,790600,Refinance,7,0.1155,Inventory,779105.506696257,1.0147534489295096,2025-10-02,2025-12-02,market_conditions_t2,0.0601,0.0253,2025-09-25T07:57:25.141771,2026-02-10T07:57:25.141771,2025-09-25T09:35:25.141771,synthetic,0.776,2,SYN-1745582245-1661
company_crawford_plc_loan_t3,LoanApplication,company_crawford_plc,Crawford PLC,owner_thomas_lin,Thomas Lin,3,700119,Refinance,5,0.0924,Inventory,530418.9082804584,1.319935977149994,2026-01-01,2026-03-13,market_conditions_t3,0.0509,0.0311,2026-01-14T07:57:25.141816,,2026-01-14T09:42:25.141816,synthetic,0.789,1,SYN-1745582245-6350
"company_boyle,_hoffman_and_ford_loan_t0",LoanApplication,"company_boyle,_hoffman_and_ford","Boyle, Hoffman and Ford",owner_donald_peterson,Donald Peterson,0,1750801,Store Renovation,7,0.0602,Real Estate,2216974.064962451,0.7897255216784205,2025-04-13,2025-05-19,market_conditions_t0,0.0441,0.0258,2025-04-05T07:57:25.142487,,2025-04-05T09:04:25.142487,synthetic,0.754,2,SYN-1745582245-4730
"company_boyle,_hoffman_and_ford_loan_t1",LoanApplication,"company_boyle,_hoffman_and_ford","Boyle, Hoffman and Ford",owner_donald_peterson,Donald Peterson,1,730291,Working Capital,2,0.1011,Inventory,745779.5391925089,0.9792317456050362,2025-07-17,2025-08-27,market_conditions_t1,0.0551,0.0056,2025-07-20T07:57:25.142531,,2025-07-20T08:30:25.142531,synthetic,0.791,1,SYN-1745582245-8197
"company_boyle,_hoffman_and_ford_loan_t2",LoanApplication,"company_boyle,_hoffman_and_ford","Boyle, Hoffman and Ford",owner_donald_peterson,Donald Peterson,2,658947,Inventory Purchase,3,0.1353,None,0.0,0.0,2025-10-05,2025-12-16,market_conditions_t2,0.0601,0.0037,2025-10-02T07:57:25.142581,,2025-10-02T08:47:25.142581,synthetic,0.777,1,SYN-1745582245-4589
"company_boyle,_hoffman_and_ford_loan_t3",LoanApplication,"company_boyle,_hoffman_and_ford","Boyle, Hoffman and Ford",owner_donald_peterson,Donald Peterson,3,816410,Inventory Purchase,1,0.0808,Accounts Receivable,882010.4320873672,0.9256239725735249,2025-12-21,2026-01-23,market_conditions_t3,0.0509,0.0105,2026-01-18T07:57:25.142623,,2026-01-18T09:03:25.142623,synthetic,0.785,3,SYN-1745582245-1447
company_henson_llc_loan_t0,LoanApplication,company_henson_llc,Henson LLC,owner_aaron_glover,Aaron Glover,0,1955848,Office Expansion,7,0.089,Personal Guarantee,1991996.3030239355,0.9818532278553626,2025-03-26,2025-05-25,market_conditions_t0,0.0441,0.0447,2025-04-19T07:57:25.143118,,2025-04-19T08:36:25.143118,synthetic,0.772,2,SYN-1745582245-6672
company_henson_llc_loan_t1,LoanApplication,company_henson_llc,Henson LLC,owner_aaron_glover,Aaron Glover,1,3669819,Acquisition,7,0.1069,Business Assets,4599030.746152806,0.7979548740938266,2025-07-11,2025-08-20,market_conditions_t1,0.0551,0.0649,2025-07-21T07:57:25.143163,,2025-07-21T08:44:25.143163,synthetic,0.751,2,SYN-1745582245-7002
company_henson_llc_loan_t2,LoanApplication,company_henson_llc,Henson LLC,owner_aaron_glover,Aaron Glover,2,657632,Equipment Purchase,5,0.1077,Equipment,680302.4051649086,0.9666759885121776,2025-10-21,2025-12-30,market_conditions_t2,0.0601,0.0507,2025-10-07T07:57:25.143338,,2025-10-07T08:54:25.143338,synthetic,0.737,1,SYN-1745582245-4110
company_henson_llc_loan_t3,LoanApplication,company_henson_llc,Henson LLC,owner_aaron_glover,Aaron Glover,3,1490403,Office Expansion,5,0.0888,Accounts Receivable,1435270.1123045434,1.0384129002776574,2026-01-18,2026-03-13,market_conditions_t3,0.0509,0.0631,2025-12-26T07:57:25.143394,,2025-12-26T09:06:25.143394,synthetic,0.746,2,SYN-1745582245-3705
company_li_ltd_loan_t0,LoanApplication,company_li_ltd,Li Ltd,owner_marcus_hayes,Marcus Hayes,0,3572778,Refinance,10,0.047,Accounts Receivable,3736128.9011189826,0.9562780339109663,2025-04-22,2025-06-20,market_conditions_t0,0.0441,0.0454,2025-03-29T07:57:25.144300,2025-06-16T07:57:25.144300,2025-03-29T08:26:25.144300,synthetic,0.724,1,SYN-1745582245-5252
company_li_ltd_loan_t1,LoanApplication,company_li_ltd,Li Ltd,owner_marcus_hayes,Marcus Hayes,1,2632659,Working Capital,1,0.0908,Accounts Receivable,2409069.021435828,1.0928117777343342,2025-06-26,2025-09-18,market_conditions_t1,0.0551,0.049,2025-07-12T07:57:25.144408,,2025-07-12T08:56:25.144408,synthetic,0.778,1,SYN-1745582245-2922
company_li_ltd_loan_t2,LoanApplication,company_li_ltd,Li Ltd,owner_marcus_hayes,Marcus Hayes,2,2641782,Working Capital,1,0.0982,Accounts Receivable,2435564.7465863377,1.0846691732185294,2025-10-18,2026-01-07,market_conditions_t2,0.0601,0.0474,2025-09-26T07:57:25.144460,,2025-09-26T08:07:25.144460,synthetic,0.785,1,SYN-1745582245-8842
company_li_ltd_loan_t3,LoanApplication,company_li_ltd,Li Ltd,owner_marcus_hayes,Marcus Hayes,3,2425786,Refinance,5,0.0697,Accounts Receivable,2059954.089362963,1.1775922640830163,2025-12-22,2026-02-18,market_conditions_t3,0.0509,0.0395,2026-01-01T07:57:25.144508,,2026-01-01T09:51:25.144508,synthetic,0.795,3,SYN-1745582245-6426
